letter	frequency
旅游	0.52307692307692
文体娱乐	0.2
出行	0.069230769230769
住宿	0.061538461538462
餐饮	0.046153846153846
房产	0.038461538461538
其他	0.038461538461538
教育	0.015384615384615
生活服务	0.0076923076923077
金融服务	0
医疗	0
购物	0
汽车服务	0
企事业单位	0
行政单位	0
