letter	frequency
出行	0.8588295687885
其他	0.042607802874743
旅游	0.025667351129363
住宿	0.023613963039014
餐饮	0.018993839835729
企事业单位	0.016427104722793
文体娱乐	0.007700205338809
房产	0.0030800821355236
购物	0.0020533880903491
医疗	0.00051334702258727
教育	0.00051334702258727
汽车服务	0
金融服务	0
生活服务	0
行政单位	0
