letter	frequency
文体娱乐	0.23462986198243
购物	0.20953575909661
房产	0.18695106649937
出行	0.10539523212045
住宿	0.097867001254705
餐饮	0.04642409033877
旅游	0.041405269761606
其他	0.040150564617315
金融服务	0.01129234629862
教育	0.0075282308657465
生活服务	0.0062735257214555
医疗	0.0062735257214555
企事业单位	0.0037641154328733
汽车服务	0.0012547051442911
行政单位	0.0012547051442911
