letter	frequency
旅游	0.42622950819672
文体娱乐	0.41803278688525
住宿	0.069672131147541
出行	0.040983606557377
餐饮	0.024590163934426
其他	0.020491803278689
金融服务	0
生活服务	0
汽车服务	0
教育	0
医疗	0
房产	0
购物	0
企事业单位	0
行政单位	0
