letter	frequency
出行	0.71401634192332
房产	0.092604232139116
旅游	0.047559187094071
住宿	0.038131154410224
文体娱乐	0.030588728263147
其他	0.015503875968992
购物	0.012989733919966
餐饮	0.012570710245129
行政单位	0.012570710245129
金融服务	0.0083804734967526
生活服务	0.0071234024722397
企事业单位	0.003352189398701
教育	0.0025141420490258
医疗	0.0020951183741881
汽车服务	0
